id,obj_1,obj_2,obj_3,odd,reason_for_similarity,obj_4
2732,Yeast,Sugar,Flour,Butter,The others are dry ingredients,Butter
2733,Croissant,Doughnut,Bagel,Cookie,The others are breakfast pastries,Cookie
2734,Baker,Pastry Chef,Cake Decorator,Butcher,The others work with baked goods,Butcher
2735,Tart,Cupcake,Pie,Pie,The others are individual servings,Muffin
2736,Pizza Cutter,Bread Knife,Baking Sheet,Pizza Cutter,The others are used in baking bread,Rolling Pin
2737,Baguette,Pretzel,Brioche,Pretzel,The others are French pastries,Croissant
2738,Frying Pan,Baking Pan,Muffin Tin,Frying Pan,The others are used in baking,Cookie Sheet
2739,Sugar,Yeast,Milk,Milk,The others are powdery substances,Flour
2740,Dough,Batter,Cream,Cream,The others are mixtures used in baking,Paste
2741,Doughnut,Pretzel,Croissant,Croissant,The others are boiled before baking,Bagel
2742,Pretzel,Chocolate Chip,Raisin,Pretzel,The others are common cookie add-ins,Nut
2743,Cake,Tart,Pie,Ice Cream,The others are baked desserts,Ice Cream
2744,Gingerbread,Bagel,Biscotti,Bagel,The others are types of cookies,Shortbread
2745,Oven,Toaster,Mixer,Toaster,The others are used to make bread,Bread Machine
2746,Scone,Biscuit,Bagel,Bagel,The others are quick breads,Muffin
2747,Filo Dough,Puff Pastry,Pizza Dough,Pizza Dough,The others are types of pastry dough,Shortcrust
2748,Fondant,Buttercream,Royal Icing,Chocolate Ganache,The others are used to decorate cakes,Chocolate Ganache
2749,Cream of Tartar,Baking Soda,Salt,Salt,The others are leavening agents,Baking Powder
2750,Brioche,Pretzel,Croissant,Pretzel,The others are French breads,Baguette
2751,Pastry,Pasta,Cake,Pasta,The others are baked goods,Bread
2752,Blender,Shaker,Jigger,Blender,The others are hand tools used by bartenders,Stirrer
2753,Tequila,Vodka,Gin,Grape Juice,The others are distilled spirits,Grape Juice
2754,Mojito,Sangria,Pina Colada,Sangria,The others are rum-based cocktails,Daiquiri
2755,Beamish,Heineken,Murphy's,Heineken,The others are Irish stouts,Guinness
2756,Leffe,Duvel,Budweiser,Budweiser,The others are Belgian beers,Hoegaarden
2757,Sapporo,Kirin,Tsingtao,Tsingtao,The others are Japanese beers,Asahi
2758,Coors,Miller,Jim Beam,Jim Beam,The others are American beers,Budweiser
2759,Becks,Corona,Warsteiner,Corona,The others are German beers,St. Pauli Girl
2760,Heineken,Staropramen,Pilsner Urquell,Heineken,The others are Czech beers,Budvar
2761,Guinness,Corona,Smithwick's,Corona,The others are Irish beers,Kilkenny
2762,Menabrea,Guinness,Moretti,Guinness,The others are Italian beers,Peroni
2763,San Miguel,Estrella,Budweiser,Budweiser,The others are Spanish beers,Mahou
2764,Singha,Heineken,Leo,Heineken,The others are Thai beers,Chang
2765,Miller,Smirnoff,Budweiser,Smirnoff,The others are beers,Coors
2766,Grolsch,Amstel,Heineken,Guinness,The others are Dutch beers,Guinness
2767,Fullers,Newcastle,Corona,Corona,The others are English beers,Boddingtons
2768,Tuborg,Faxe,Guinness,Guinness,The others are Danish beers,Carlsberg
2769,Alexander Keith's,Labatt,Molson,Budweiser,The others are Canadian beers,Budweiser
2770,Corona,Dos Equis,Guinness,Guinness,The others are Mexican beers,Pacifico
2771,Carlton Draught,Victoria Bitter,Foster's,Budweiser,The others are Australian beers,Budweiser
2772,Balvenie,Glenlivet,Glenfiddich,Chivas Regal,The others are single malt whiskies,Chivas Regal
2773,Beefeater,Grey Goose,Bombay Sapphire,Grey Goose,The others are Gin brands,Tanqueray
2774,Glenfiddich,Glenmorangie,Glenlivet,Glenmorangie,The others are Speyside whiskies,Macallan
2775,Jim Beam,Jack Daniels,Glenfiddich,Glenfiddich,The others are American whiskies,Maker's Mark
2777,Kareem Abdul-Jabbar,Michael Jordan,Magic Johnson,Magic Johnson,The others have won more than 5 MVP awards,Bill Russell
2778,Tim Duncan,Kawhi Leonard,Tony Parker,Karl Malone,The others have played for the San Antonio Spurs,Karl Malone
2779,Larry Bird,Magic Johnson,Kareem Abdul-Jabbar,Allen Iverson,The others have played in the 1980s,Allen Iverson
2780,Dwyane Wade,Vince Carter,Chris Bosh,Vince Carter,The others have won a championship with Miami Heat,Shaquille O'Neal
2781,Jeff Hornacek,John Stockton,Karl Malone,Scottie Pippen,The others have played for the Utah Jazz,Scottie Pippen
2782,Dirk Nowitzki,Elgin Baylor,Karl Malone,Dirk Nowitzki,The others have never won an NBA championship,Charles Barkley
2783,Dirk Nowitzki,Manu Ginobili,Pau Gasol,Dwight Howard,The others are European players,Dwight Howard
2784,Stephen Curry,Draymond Green,Kyrie Irving,Kyrie Irving,"The others are part of the Golden State Warriors' ""Splash Brothers""",Klay Thompson
2785,Carmelo Anthony,Kobe Bryant,Tim Duncan,Carmelo Anthony,The others were drafted in the 1990s,Kevin Garnett
2786,Dennis Rodman,Michael Jordan,Scottie Pippen,Larry Bird,"The others were part of the Chicago Bulls' ""The Last Dance""",Larry Bird
2787,Kevin Love,Kyrie Irving,Chris Paul,Chris Paul,The others have played for the Cleveland Cavaliers,LeBron James
2788,Ray Allen,Kevin Garnett,Paul Pierce,Dwyane Wade,"The others were part of the Boston Celtics' ""Big Three""",Dwyane Wade
2789,Clyde Drexler,Magic Johnson,Hakeem Olajuwon,Magic Johnson,The others have played for the Houston Rockets,Charles Barkley
2790,Kobe Bryant,Tim Duncan,Tony Parker,Kobe Bryant,The others have played their entire career with the San Antonio Spurs,David Robinson
2791,Stephen Curry,Kevin Durant,Klay Thompson,Russell Westbrook,"The others are part of the Golden State Warriors' ""Super Team""",Russell Westbrook
2792,James Harden,Chris Paul,Blake Griffin,James Harden,"The others were part of the LA Clippers' ""Lob City""",DeAndre Jordan
2793,Manu Ginobili,Shaquille O'Neal,Dirk Nowitzki,Shaquille O'Neal,The others are international players who are in the Hall of Fame,Yao Ming
2794,Tim Duncan,LeBron James,Allen Iverson,LeBron James,The others were drafted in the first round of the 1996 NBA Draft,Kobe Bryant
2795,Larry Bird,Bill Laimbeer,Joe Dumars,Larry Bird,"The others were part of the Detroit Pistons' ""Bad Boys""",Isiah Thomas
2796,Dennis Rodman,Scottie Pippen,Michael Jordan,Charles Barkley,The others were part of the Chicago Bulls' 72-10 season,Charles Barkley
2797,James Worthy,Larry Bird,Kareem Abdul-Jabbar,Larry Bird,"The others were part of the Los Angeles Lakers' ""Showtime""",Magic Johnson
2798,Shaquille O'Neal,Derek Fisher,Kobe Bryant,Tracy McGrady,The others were part of the Los Angeles Lakers' three-peat,Tracy McGrady
2799,Dwyane Wade,Chris Bosh,LeBron James,Carmelo Anthony,"The others were part of the Miami Heat's ""Big Three""",Carmelo Anthony
2800,Tom Heinsohn,Wilt Chamberlain,Bill Russell,Wilt Chamberlain,The others were part of the Boston Celtics' 1960s dynasty,Sam Jones
2801,Magic Johnson,Larry Bird,Robert Parish,Magic Johnson,"The others were part of the Boston Celtics' 1980s ""Big Three""",Kevin McHale
2802,Bob Dandridge,Magic Johnson,Kareem Abdul-Jabbar,Magic Johnson,The others were part of the Milwaukee Bucks' 1971 Championship Team,Oscar Robertson
2977,Chair,Stove,Table,Stove,The others are in the dining area,Booth
2803,Michael Jordan,Dennis Rodman,Patrick Ewing,Patrick Ewing,The others were part of the Chicago Bulls' second three-peat,Scottie Pippen
2804,Willie Stargell,Mike Schmidt,Bill Mazeroski,Mike Schmidt,The others played for the Pittsburgh Pirates,Roberto Clemente
2805,Stan Musial,Bob Gibson,Lou Brock,Tony Gwynn,The others played for the St. Louis Cardinals,Tony Gwynn
2806,Darryl Strawberry,Tom Seaver,Chipper Jones,Chipper Jones,The others played for the New York Mets,Mike Piazza
2807,Carl Yastrzemski,Jim Rice,Ted Williams,Reggie Jackson,The others played for the Boston Red Sox,Reggie Jackson
2808,Reggie Jackson,George Brett,Catfish Hunter,George Brett,The others played for the Oakland Athletics,Rollie Fingers
2809,Harmon Killebrew,Kirby Puckett,Robin Yount,Robin Yount,The others played for the Minnesota Twins,Rod Carew
2810,Joe Morgan,Pete Rose,Johnny Bench,Ernie Banks,The others played for the Cincinnati Reds,Ernie Banks
2811,Hank Aaron,Willie Mays,Juan Marichal,Hank Aaron,The others played for the San Francisco Giants,Willie McCovey
2812,Roberto Clemente,Jim Palmer,Brooks Robinson,Roberto Clemente,The others played for the Baltimore Orioles,Frank Robinson
2813,Bob Feller,Norm Cash,Al Kaline,Bob Feller,The others played for the Detroit Tigers,Mickey Lolich
2814,Mike Schmidt,Paul Molitor,Rollie Fingers,Mike Schmidt,The others played for the Milwaukee Brewers,Robin Yount
2815,Mike Schmidt,Nolan Ryan,Steve Carlton,Nolan Ryan,The others played for the Philadelphia Phillies,Pete Rose
2816,Nolan Ryan,Rod Carew,Reggie Jackson,Willie Mays,The others played for the California Angels,Willie Mays
2817,Joe Morgan,Ryne Sandberg,Ron Santo,Joe Morgan,The others played for the Chicago Cubs,Ernie Banks
2818,Cal Ripken Jr.,Hal McRae,Frank White,Cal Ripken Jr.,The others played for the Kansas City Royals,George Brett
2819,Ozzie Smith,Tony Gwynn,Steve Garvey,Ozzie Smith,The others played for the San Diego Padres,Dave Winfield
2820,Edgar Martinez,Tony Gwynn,Randy Johnson,Tony Gwynn,The others played for the Seattle Mariners,Ken Griffey Jr.
2821,Hank Aaron,Eddie Mathews,Warren Spahn,Ernie Banks,The others played for the Milwaukee Braves,Ernie Banks
2822,Bob Feller,Larry Doby,Willie Mays,Willie Mays,The others played for the Cleveland Indians,Early Wynn
2823,Thomas Hearns,Joe Louis,Marvin Hagler,Joe Louis,The others are middleweight boxers.,Sugar Ray Leonard
2824,Muhammad Ali,Mike Tyson,Evander Holyfield,Muhammad Ali,The others have won the heavyweight title in the 90s.,Larry Holmes
2825,Sugar Ray Leonard,Floyd Mayweather,Manny Pacquiao,Sugar Ray Leonard,The others have won the welterweight title in the 21st century.,Oscar De La Hoya
2826,George Foreman,Wladimir Klitschko,Evander Holyfield,Wladimir Klitschko,The others are American boxers.,Mike Tyson
2827,Henry Armstrong,Willie Pep,Sugar Ray Robinson,Rocky Marciano,The others are featherweight boxers.,Rocky Marciano
2828,Floyd Mayweather,Marvin Hagler,Manny Pacquiao,Marvin Hagler,The others are welterweight boxers.,Oscar De La Hoya
2829,Roberto Duran,Pernell Whitaker,Joe Louis,Joe Louis,The others are lightweight boxers.,Julio Cesar Chavez
2830,Popping Dancing,Breakdancing,Tango,Tango,The others are street dance styles,Locking Dancing
2831,Belly,Tap,Jazz,Belly,The others are styles of dance originating in the West,Ballet
2832,Cha Cha,Swing,Samba,Swing,The others are Latin ballroom dances,Paso Doble
2833,Pointe Shoes,Tights,Tutu,Tap Shoes,The others are ballet attire,Tap Shoes
2834,Capoeira,Samba,Flamenco,Flamenco,The others are Brazilian dances,Bossa Nova
2835,Flamenco,Ballet,Hip Hop,Flamenco,The others originated in the United States,Jazz
2836,Jazz,Salsa,Ballet,Salsa,The others are taught in traditional dance schools,Tap
2837,Locking,Krumping,Breakdancing,Breakdancing,The others originated in Los Angeles,Popping
2838,Rian Johnson,George Lucas,J.J. Abrams,David Lynch,The others have directed Star Wars films,David Lynch
2839,Doug Gilmour,Guy Lafleur,Jean Beliveau,Doug Gilmour,The others played for the Montreal Canadiens.,Maurice Richard
2840,Daniel Sedin,Scott Niedermayer,Rob Niedermayer,Rob Niedermayer,The others are twins.,Henrik Sedin
2841,Joe Sakic,Steve Yzerman,Peter Forsberg,Steve Yzerman,The others played for the Colorado Avalanche.,Patrick Roy
2842,Guy Lapointe,Serge Savard,Bobby Clarke,Bobby Clarke,The others are part of the Montreal Canadiens' Big Three.,Larry Robinson
2843,Nicklas Lidstrom,Mario Lemieux,Steve Yzerman,Mario Lemieux,The others played for the Detroit Red Wings.,Pavel Datsyuk
2844,Guy Lafleur,Bobby Orr,Johnny Bucyk,Guy Lafleur,The others played for the Boston Bruins.,Phil Esposito
2845,Gordie Howe,Ted Lindsay,Bobby Hull,Bobby Hull,The others are part of the Detroit Red Wings' Production Line.,Alex Delvecchio
2846,Rod Gilbert,Brad Park,Jean Ratelle,Brad Park,The others are part of the New York Rangers' GAG Line.,Vic Hadfield
2847,Reggie Leach,Bill Barber,Bernie Parent,Bernie Parent,The others are part of the Philadelphia Flyers' LCB Line.,Bobby Clarke
2848,Bryan Trottier,Clark Gillies,Mike Bossy,Denis Potvin,The others are part of the New York Islanders' Trio Grande.,Denis Potvin
2849,Maurice Richard,Gordie Howe,Bobby Hull,Mario Lemieux,The others played in the Original Six era.,Mario Lemieux
2850,Pavel Datsyuk,Henrik Zetterberg,Niklas Lidstrom,Niklas Lidstrom,The others are part of the Detroit Red Wings' Euro Twins.,Tomas Holmstrom
2851,Milan Hejduk,Patrick Roy,Peter Forsberg,Patrick Roy,The others are part of the Colorado Avalanche's AMP Line.,Joe Sakic
2852,Johnny Bucyk,Ken Hodge,Phil Esposito,Johnny Bucyk,The others are part of the Boston Bruins' Big Bad Bruins.,Bobby Orr
2853,Elvis Presley,Jimi Hendrix,Michael Jackson,Jimi Hendrix,The others are known for their unique dance moves,Prince
2854,George Harrison,Paul McCartney,Ringo Starr,Ringo Starr,The others were songwriters for The Beatles,John Lennon
2855,Roger Waters,David Gilmour,Syd Barrett,Syd Barrett,The others are still members of Pink Floyd,Nick Mason
2856,Richie Sambora,Tico Torres,Jon Bon Jovi,Richie Sambora,The others are still members of Bon Jovi,David Bryan
2857,Phil Collins,John Deacon,Roger Taylor,Phil Collins,The others were members of Queen,Brian May
2858,David Lee Roth,Alex Van Halen,Sammy Hagar,Sammy Hagar,The others are original members of Van Halen,Eddie Van Halen
2978,Brunch,Dinner,Breakfast,Brunch,The others are traditional meal times,Lunch
2859,Guy Berryman,Jonny Buckland,Chris Martin,Will Champion,The others are known for their guitar playing in Coldplay,Will Champion
2860,Brian Johnson,Malcolm Young,Angus Young,Brian Johnson,The others are original members of AC/DC,Bon Scott
2861,Bob Marley,B.B. King,Eric Clapton,Bob Marley,The others are primarily blues guitarists,Jimi Hendrix
2862,Damon Albarn,Thom Yorke,Adele,Adele,The others are known for their experimental music,Björk
2863,Bunny Wailer,Ziggy Marley,Peter Tosh,Ziggy Marley,The others were original members of The Wailers,Bob Marley
2864,Ronnie Wood,Mick Jagger,Charlie Watts,Ronnie Wood,The others are original members of The Rolling Stones,Keith Richards
2865,Claude Monet,Andy Warhol,Vincent Van Gogh,Andy Warhol,The others are Impressionist painters,Pablo Picasso
2866,Rene Magritte,Salvador Dali,Leonardo da Vinci,Leonardo da Vinci,The others are Surrealist painters,Joan Miro
2867,J.M.W. Turner,Edward Hopper,Georgia O'Keeffe,J.M.W. Turner,The others are American painters,Grant Wood
2868,Rembrandt van Rijn,Johannes Vermeer,Vincent Van Gogh,Marc Chagall,The others are Dutch painters,Marc Chagall
2869,Wassily Kandinsky,Édouard Manet,Paul Cézanne,Wassily Kandinsky,The others are French Impressionists,Pierre-Auguste Renoir
2870,Kazimir Malevich,Wassily Kandinsky,Michelangelo,Michelangelo,The others are Abstract painters,Piet Mondrian
2871,Francis Bacon,David Hockney,Lucian Freud,Raphael,The others are British painters,Raphael
2872,Edgar Degas,Pablo Picasso,Pierre-Auguste Renoir,Pablo Picasso,The others are associated with Impressionism,Mary Cassatt
2873,Salvador Dali,Kazimir Malevich,Marc Chagall,Salvador Dali,The others are Russian painters,Wassily Kandinsky
2874,Vincent Van Gogh,Édouard Manet,Paul Gauguin,Andy Warhol,The others are Post-Impressionist painters,Andy Warhol
2875,Claude Monet,Gustav Klimt,Oskar Kokoschka,Claude Monet,The others are Austrian painters,Egon Schiele
2876,Andy Warhol,Jean-Michel Basquiat,Rembrandt,Rembrandt,The others are Pop Art painters,Keith Haring
2877,Edward Hopper,Maurice de Vlaminck,André Derain,Edward Hopper,The others are Fauvist painters,Henri Matisse
2878,Caravaggio,Piet Mondrian,Bart van der Leck,Caravaggio,The others are De Stijl movement painters,Theo van Doesburg
2879,Marc Chagall,Johannes Vermeer,Chaim Soutine,Johannes Vermeer,The others are School of Paris painters,Amedeo Modigliani
2880,Wassily Kandinsky,Paul Klee,August Macke,Frida Kahlo,The others are associated with the Blue Rider movement,Frida Kahlo
2881,Pablo Picasso,Hans Holbein the Younger,Lucas Cranach the Elder,Pablo Picasso,The others are German Renaissance painters,Albrecht Dürer
2882,Filippo de Pisis,Giorgio de Chirico,Carlo Carrà,Vincent Van Gogh,The others are Metaphysical painters,Vincent Van Gogh
2883,Jean-Baptiste Greuze,Salvador Dali,Jean-Auguste-Dominique Ingres,Salvador Dali,The others are Neoclassical painters,Jacques-Louis David
2884,El Greco,Francisco Goya,Diego Velázquez,Leonardo Da Vinci,The others are Spanish painters,Leonardo Da Vinci
2885,Giotto,Mark Rothko,Duccio,Mark Rothko,The others are Italian painters from the Middle Ages,Cimabue
2886,Jean-Auguste-Dominique Ingres,Jacques-Louis David,Jackson Pollock,Jackson Pollock,The others are French Neoclassical painters,Nicolas Poussin
2887,Marc Chagall,Artemisia Gentileschi,Michelangelo Merisi,Marc Chagall,The others are Italian Baroque painters,Caravaggio
2888,Sartre,de Beauvoir,Descartes,Descartes,The others are existentialist French philosophers,Camus
2889,Epicurus,Locke,Kant,Epicurus,The others are modern philosophers,Hume
2890,Sartre,Hegel,Marx,Sartre,The others are German philosophers,Feuerbach
2891,Moore,Descartes,Russell,Descartes,The others are analytic philosophers,Wittgenstein
2892,Descartes,Hume,Spinoza,Hume,The others are rationalist philosophers,Leibniz
2893,Johann Sebastian Bach,Ludwig van Beethoven,Frédéric Chopin,Duke Ellington,The others composed primarily for the piano,Duke Ellington
2894,Franz Liszt,Sergei Rachmaninoff,Scott Joplin,Scott Joplin,The others are known for their virtuosic playing,Frédéric Chopin
2895,Sergei Prokofiev,Igor Stravinsky,Johann Sebastian Bach,Johann Sebastian Bach,The others are 20th-century Russian composers,Dmitri Shostakovich
2896,Duke Ellington,Alfred Brendel,Glenn Gould,Duke Ellington,The others are known for their interpretations of Bach,Maurizio Pollini
2897,Sergei Rachmaninoff,Felix Mendelssohn,Johannes Brahms,Sergei Rachmaninoff,The others are from the Romantic period,Robert Schumann
2898,Franz Liszt,Johannes Brahms,Frédéric Chopin,Duke Ellington,The others were also music teachers,Duke Ellington
2899,Franz Schubert,Vladimir Horowitz,Sergei Rachmaninoff,Franz Schubert,The others are known for their large hands,Franz Liszt
2900,Franz Liszt,Thelonious Monk,Frédéric Chopin,Thelonious Monk,The others are from the 19th century,Johannes Brahms
2901,Art Tatum,Sergei Rachmaninoff,Bill Evans,Sergei Rachmaninoff,The others are American pianists,Thelonious Monk
2902,Glenn Gould,Alfred Brendel,Franz Liszt,Franz Liszt,The others are known for their interpretations of Beethoven,Maurizio Pollini
2903,Thelonious Monk,Bill Evans,Duke Ellington,Sergei Rachmaninoff,The others are known for their improvisation skills,Sergei Rachmaninoff
2904,Alfred Brendel,Maurizio Pollini,Franz Liszt,Franz Liszt,The others are known for their interpretations of Mozart,Glenn Gould
2905,Elizabeth Barrett Browning,Robert Browning,John Keats,Pablo Neruda,The others are Victorian poets,Pablo Neruda
2906,Emily Dickinson,Goethe,Friedrich Schiller,Emily Dickinson,The others are German poets,Rainer Maria Rilke
2907,Anna Akhmatova,Alexander Pushkin,Boris Pasternak,Robert Frost,The others are Russian poets,Robert Frost
2908,Giovanni Boccaccio,Dante Alighieri,Walt Whitman,Walt Whitman,The others are Italian poets,Petrarch
2909,George Eliot,Lewis Carroll,Thomas Hardy,Lewis Carroll,The others wrote novels as well as poetry,Charles Dickens
2910,William Shakespeare,Ben Jonson,Emily Dickinson,Emily Dickinson,The others are Renaissance poets,John Donne
2911,Walt Whitman,Allen Ginsberg,William S. Burroughs,Walt Whitman,The others are Beat poets,Jack Kerouac
2912,Samuel Johnson,John Dryden,Robert Frost,Robert Frost,The others are 18th century English poets,Alexander Pope
2913,Richard Crashaw,John Donne,George Herbert,Emily Dickinson,The others are Metaphysical poets,Emily Dickinson
2914,A.E. Housman,Robert Bridges,Emily Dickinson,Emily Dickinson,The others are English poets of the late 19th and early 20th century,Thomas Hardy
2915,William Carlos Williams,Wallace Stevens,Robert Frost,John Keats,The others are Modernist poets,John Keats
2916,Angela Merkel,Barack Obama,George W. Bush,Angela Merkel,The others are former US Presidents,Bill Clinton
2917,Joe Biden,Kamala Harris,Mike Pence,Boris Johnson,The others are current or former US Vice Presidents,Boris Johnson
2918,Scott Morrison,Tony Abbott,Jacinda Ardern,Jacinda Ardern,The others are Australian Prime Ministers,Malcolm Turnbull
2919,Ahmet Davutoglu,Emmanuel Macron,Recep Tayyip Erdogan,Emmanuel Macron,The others are Turkish Presidents,Abdullah Gul
2920,Jair Bolsonaro,Dilma Rousseff,Michel Temer,Angela Merkel,The others are Brazilian Presidents,Angela Merkel
2921,Moon Jae-in,Lee Myung-bak,Park Geun-hye,Shinzo Abe,The others are South Korean Presidents,Shinzo Abe
2922,Benigno Aquino III,Gloria Macapagal Arroyo,Rodrigo Duterte,Xi Jinping,The others are Philippine Presidents,Xi Jinping
2923,Mahmoud Ahmadinejad,Emmanuel Macron,Mohammad Khatami,Emmanuel Macron,The others are Iranian Presidents,Hassan Rouhani
2924,Andrés Manuel López Obrador,Joe Biden,Felipe Calderón,Joe Biden,The others are Mexican Presidents,Enrique Peña Nieto
2925,Mario Monti,Matteo Renzi,Giuseppe Conte,Angela Merkel,The others are Italian Prime Ministers,Angela Merkel
2926,Viktor Orbán,Emmanuel Macron,Gordon Bajnai,Emmanuel Macron,The others are Hungarian Prime Ministers,Ferenc Gyurcsány
2927,Johnny Cash,Bob Dylan,Willie Nelson,Bob Dylan,The others are country artists.,Dolly Parton
2928,Christina Aguilera,Britney Spears,Justin Timberlake,Justin Timberlake,The others are female solo artists.,Mariah Carey
2929,Ariana Grande,Lady Gaga,Katy Perry,Lorde,The others have performed at the Super Bowl halftime show.,Lorde
2930,Coldplay,One Republic,Maroon 5,The Chainsmokers,The others are bands with a lead vocalist.,The Chainsmokers
2931,Halsey,Lorde,Taylor Swift,Taylor Swift,The others won their first Grammy before turning 20.,Billie Eilish
2932,John Lennon,George Harrison,Ringo Starr,Ringo Starr,The others are songwriters of The Beatles.,Paul McCartney
2933,Kendrick Lamar,Frank Ocean,Earl Sweatshirt,Kendrick Lamar,The others are members of Odd Future.,"Tyler, The Creator"
2934,Rita Ora,Dua Lipa,Ellie Goulding,Sam Smith,The others are British female artists.,Sam Smith
2935,Mo Salah,Lionel Messi,Cristiano Ronaldo,Mo Salah,The others have won UEFA Champions League with multiple clubs,Neymar Jr
2936,Carlos Moyá,Rafael Nadal,Gustavo Kuerten,Rafael Nadal,The others have won French Open only once,Juan Carlos Ferrero
2937,Hulk Hogan,Triple H,The Rock,Hulk Hogan,The others are part of the Attitude Era.,Stone Cold
2938,Dean Malenko,Brock Lesnar,Eddie Guerrero,Brock Lesnar,The others are part of the Radicalz.,Chris Benoit
2939,John Roberts,Judge Rinder,Clarence Thomas,Judge Rinder,The others are U.S. Supreme Court Justices,Thurgood Marshall
2940,Apron,Baker's Hat,Oven Mitts,Whisk,The others are worn by bakers.,Whisk
2941,Flour,Sugar,Salt,Sugar,The others are used in making bread dough.,Yeast
2942,Croissant,Donut,Baguette,Donut,The others are types of bread.,Muffin
2943,Salt,Yeast,Baking Soda,Salt,The others are leavening agents.,Baking Powder
2944,Rye,Whole Wheat,Sourdough,Biscuit,The others are types of bread loaves.,Biscuit
2946,Pastry,Cake,Bread,Pasta,The others are typically sweet.,Pasta
2947,Pretzel,Croissant,Bagel,Bagel,The others are types of French bread.,Brioche
2948,Puff Pastry,Cookie Dough,Filo Pastry,Cookie Dough,The others are types of pastry dough.,Shortcrust Pastry
2949,Flour,Water,Milk,Milk,The others are ingredients in basic bread recipe.,Yeast
2950,Scone,Muffin,Brownie,Scone,The others are typically eaten as dessert.,Cupcake
2951,Eggs,Sugar,Raisins,Raisins,The others are essential ingredients in most baked goods.,Butter
2952,Oven,Spatula,Baking Tray,Oven,The others are handheld baking tools.,Mixer
2953,Baker's Yeast,Active Dry Yeast,Instant Yeast,Baking Soda,The others are types of yeast.,Baking Soda
2954,Rolling Pin,Dough Scraper,Bread Knife,Pie Server,The others are used in handling dough.,Pie Server
2955,Ice Cream,Pie,Bread,Ice Cream,The others are baked.,Cake
2956,Pie,Tart,Quiche,Cake,The others have a crust.,Cake
2957,Sugar,Butter,Flour,Oil,The others are used in making a basic cake.,Oil
2958,Cookie,Donut,Cupcake,Donut,The others are baked in a mold or pan.,Muffin
2959,Baking Soda,Baking Powder,Cream of Tartar,Cream of Tartar,The others are used to make dough rise.,Yeast
2960,Pancake,Biscuit,Bread,Pancake,The others are baked in an oven.,Cake
2961,Sugar,Pepper,Salt,Pepper,The others are basic ingredients in a cake recipe.,Flour
2962,Chocolate Cake,Cheesecake,Red Velvet Cake,Cheesecake,The others are types of sponge cake.,Carrot Cake
2963,Pasta,Bagel,Bread,Pasta,The others are made from a yeast dough.,Croissant
2964,Brownie,Cake,Tart,Brownie,The others are typically made with a crust.,Pie
2965,Wine Opener,Muddler,Jigger,Wine Opener,The others are used in making cocktails,Cocktail Shaker
2966,Martini,Negroni,Bloody Mary,Bloody Mary,"The others are stirred, not shaken",Manhattan
2967,Vodka,Rum,Tequila,Tequila,The others are used in a Long Island Iced Tea,Gin
2968,Simple Syrup,Olive Brine,Lime Juice,Olive Brine,The others are common cocktail sweeteners,Bitters
2969,Irish Whisky,Bourbon,Vodka,Vodka,The others are types of Whisky,Scotch
2970,Bar Stool,Cocktail Glass,Wine Cellar,Wine Cellar,The others are found in the main bar area,Bar Counter
2971,Muddler,Blender,Strainer,Blender,The others are manual bartending tools,Shaker
2972,Cosmopolitan,Vodka Martini,Negroni,Negroni,The others are vodka-based cocktails,Moscow Mule
2973,Cocktail Menu,Tip Jar,Kitchen,Kitchen,The others are found on the bar top,Bar Mat
2974,Whiskey,Brandy,Vodka,Vodka,The others are aged in barrels,Rum
2975,Mimosa,Screwdriver,Martini,Martini,The others are brunch cocktails,Bloody Mary
2976,Cocktail Shaker,Blender,Bottle Opener,Blender,The others are used for opening drinks,Waiter's Corkscrew
2979,Drink,Bread,Salad,Bread,The others are served in a bowl,Soup
2980,Gordon Ramsay,Anthony Bourdain,Julia Child,Anthony Bourdain,The others are chefs who have hosted cooking competitions,Bobby Flay
2981,Salt,Sugar,Paprika,Sugar,The others are spices,Pepper
2982,Chopping Board,Whisk,Measuring Cup,Blender,The others are manual kitchen tools,Blender
2983,Truffle,Caviar,Beef,Beef,The others are luxury food ingredients,Saffron
2985,Gewürztraminer,Chardonnay,Semillon,Gewürztraminer,The others are white wine varietals often aged in oak,Viognier
2986,Gamay,Pinot Noir,Nebbiolo,Carmenere,The others are red wine varietals often made in a light-bodied style,Carmenere
2987,Charles Barkley,Dwyane Wade,John Stockton,Dwyane Wade,The others never won an NBA championship,Karl Malone
2988,Anthony Davis,Pau Gasol,Dirk Nowitzki,Anthony Davis,The others are European,Giannis Antetokounmpo
2989,Hakeem Olajuwon,Kevin Garnett,Shaquille O'Neal,Kevin Garnett,The others are centers,David Robinson
2990,Chris Paul,Steve Nash,Jason Kidd,Dwight Howard,The others are point guards,Dwight Howard
2991,Russell Westbrook,LeBron James,Kevin Durant,Russell Westbrook,The others have won Finals MVP,Kawhi Leonard
2992,Chris Webber,Klay Thompson,Draymond Green,Chris Webber,"The others are part of the Golden State Warriors' ""Splash Brothers"" era",Stephen Curry
2993,Manu Ginobili,Tim Duncan,Yao Ming,Yao Ming,The others played for the San Antonio Spurs,Tony Parker
2994,Paul Pierce,Carmelo Anthony,Kevin Garnett,Carmelo Anthony,The others won a championship with the Boston Celtics,Ray Allen
2995,John Starks,Patrick Ewing,Reggie Miller,Reggie Miller,The others played for the New York Knicks,Charles Oakley
