obj_1,obj_2,obj_3,odd,reason_for_similarity,obj_4
Stone Cold,Hulk Hogan,The Rock,Hulk Hogan,"The others are part of the ""Attitude Era"".",John Cena
Sin Cara,Rey Mysterio,Big Show,Big Show,The others are Lucha Libre wrestlers.,Kalisto
Brock Lesnar,Randy Orton,Shelton Benjamin,Randy Orton,The others are amateur wrestling champions.,Kurt Angle
Kurt Angle,X-Pac,Shawn Michaels,Kurt Angle,The others were part of D-Generation X.,Triple H
Rolling Pin,Mixer,Oven,Oven,The others are handheld tools,Spatula
Pizza,Pastry,Cake,Pizza,The others are sweet baked goods,Bread
Oven Mitts,Baker's Hat,Apron,Bread Machine,The others are worn by bakers,Bread Machine
Yeast,Sugar,Flour,Butter,The others are dry ingredients,Butter
Croissant,Doughnut,Bagel,Cookie,The others are breakfast pastries,Cookie
Baker,Pastry Chef,Cake Decorator,Butcher,The others work with baked goods,Butcher
Tart,Cupcake,Pie,Pie,The others are individual servings,Muffin
Pizza Cutter,Bread Knife,Baking Sheet,Pizza Cutter,The others are used in baking bread,Rolling Pin
Baguette,Pretzel,Brioche,Pretzel,The others are French pastries,Croissant
Frying Pan,Baking Pan,Muffin Tin,Frying Pan,The others are used in baking,Cookie Sheet
Sugar,Yeast,Milk,Milk,The others are powdery substances,Flour
Dough,Batter,Cream,Cream,The others are mixtures used in baking,Paste
Doughnut,Pretzel,Croissant,Croissant,The others are boiled before baking,Bagel
Pretzel,Chocolate Chip,Raisin,Pretzel,The others are common cookie add-ins,Nut
Cake,Tart,Pie,Ice Cream,The others are baked desserts,Ice Cream
Gingerbread,Bagel,Biscotti,Bagel,The others are types of cookies,Shortbread
Oven,Toaster,Mixer,Toaster,The others are used to make bread,Bread Machine
Scone,Biscuit,Bagel,Bagel,The others are quick breads,Muffin
Filo Dough,Puff Pastry,Pizza Dough,Pizza Dough,The others are types of pastry dough,Shortcrust
Fondant,Buttercream,Royal Icing,Chocolate Ganache,The others are used to decorate cakes,Chocolate Ganache
Cream of Tartar,Baking Soda,Salt,Salt,The others are leavening agents,Baking Powder
Brioche,Pretzel,Croissant,Pretzel,The others are French breads,Baguette
Pastry,Pasta,Cake,Pasta,The others are baked goods,Bread
Blender,Shaker,Jigger,Blender,The others are hand tools used by bartenders,Stirrer
Tequila,Vodka,Gin,Grape Juice,The others are distilled spirits,Grape Juice
Mojito,Sangria,Pina Colada,Sangria,The others are rum-based cocktails,Daiquiri
Beamish,Heineken,Murphy's,Heineken,The others are Irish stouts,Guinness
Leffe,Duvel,Budweiser,Budweiser,The others are Belgian beers,Hoegaarden
Sapporo,Kirin,Tsingtao,Tsingtao,The others are Japanese beers,Asahi
Coors,Miller,Jim Beam,Jim Beam,The others are American beers,Budweiser
Becks,Corona,Warsteiner,Corona,The others are German beers,St. Pauli Girl
Heineken,Staropramen,Pilsner Urquell,Heineken,The others are Czech beers,Budvar
Guinness,Corona,Smithwick's,Corona,The others are Irish beers,Kilkenny
Menabrea,Guinness,Moretti,Guinness,The others are Italian beers,Peroni
San Miguel,Estrella,Budweiser,Budweiser,The others are Spanish beers,Mahou
Singha,Heineken,Leo,Heineken,The others are Thai beers,Chang
Miller,Smirnoff,Budweiser,Smirnoff,The others are beers,Coors
Grolsch,Amstel,Heineken,Guinness,The others are Dutch beers,Guinness
Fullers,Newcastle,Corona,Corona,The others are English beers,Boddingtons
Tuborg,Faxe,Guinness,Guinness,The others are Danish beers,Carlsberg
Alexander Keith's,Labatt,Molson,Budweiser,The others are Canadian beers,Budweiser
Corona,Dos Equis,Guinness,Guinness,The others are Mexican beers,Pacifico
Carlton Draught,Victoria Bitter,Foster's,Budweiser,The others are Australian beers,Budweiser
Balvenie,Glenlivet,Glenfiddich,Chivas Regal,The others are single malt whiskies,Chivas Regal
Beefeater,Grey Goose,Bombay Sapphire,Grey Goose,The others are Gin brands,Tanqueray
Glenfiddich,Glenmorangie,Glenlivet,Glenmorangie,The others are Speyside whiskies,Macallan
Jim Beam,Jack Daniels,Glenfiddich,Glenfiddich,The others are American whiskies,Maker's Mark
Kobe Bryant,LeBron James,Stephen Curry,Stephen Curry,The others have played for the Los Angeles Lakers,Michael Jordan
Kareem Abdul-Jabbar,Michael Jordan,Magic Johnson,Magic Johnson,The others have won more than 5 MVP awards,Bill Russell
Tim Duncan,Kawhi Leonard,Tony Parker,Karl Malone,The others have played for the San Antonio Spurs,Karl Malone
Larry Bird,Magic Johnson,Kareem Abdul-Jabbar,Allen Iverson,The others have played in the 1980s,Allen Iverson
Dwyane Wade,Vince Carter,Chris Bosh,Vince Carter,The others have won a championship with Miami Heat,Shaquille O'Neal
Jeff Hornacek,John Stockton,Karl Malone,Scottie Pippen,The others have played for the Utah Jazz,Scottie Pippen
Dirk Nowitzki,Elgin Baylor,Karl Malone,Dirk Nowitzki,The others have never won an NBA championship,Charles Barkley
Dirk Nowitzki,Manu Ginobili,Pau Gasol,Dwight Howard,The others are European players,Dwight Howard
Stephen Curry,Draymond Green,Kyrie Irving,Kyrie Irving,"The others are part of the Golden State Warriors' ""Splash Brothers""",Klay Thompson
Carmelo Anthony,Kobe Bryant,Tim Duncan,Carmelo Anthony,The others were drafted in the 1990s,Kevin Garnett
Dennis Rodman,Michael Jordan,Scottie Pippen,Larry Bird,"The others were part of the Chicago Bulls' ""The Last Dance""",Larry Bird
Kevin Love,Kyrie Irving,Chris Paul,Chris Paul,The others have played for the Cleveland Cavaliers,LeBron James
Ray Allen,Kevin Garnett,Paul Pierce,Dwyane Wade,"The others were part of the Boston Celtics' ""Big Three""",Dwyane Wade
Clyde Drexler,Magic Johnson,Hakeem Olajuwon,Magic Johnson,The others have played for the Houston Rockets,Charles Barkley
Kobe Bryant,Tim Duncan,Tony Parker,Kobe Bryant,The others have played their entire career with the San Antonio Spurs,David Robinson
Stephen Curry,Kevin Durant,Klay Thompson,Russell Westbrook,"The others are part of the Golden State Warriors' ""Super Team""",Russell Westbrook
James Harden,Chris Paul,Blake Griffin,James Harden,"The others were part of the LA Clippers' ""Lob City""",DeAndre Jordan
Manu Ginobili,Shaquille O'Neal,Dirk Nowitzki,Shaquille O'Neal,The others are international players who are in the Hall of Fame,Yao Ming
Tim Duncan,LeBron James,Allen Iverson,LeBron James,The others were drafted in the first round of the 1996 NBA Draft,Kobe Bryant
Larry Bird,Bill Laimbeer,Joe Dumars,Larry Bird,"The others were part of the Detroit Pistons' ""Bad Boys""",Isiah Thomas
Dennis Rodman,Scottie Pippen,Michael Jordan,Charles Barkley,The others were part of the Chicago Bulls' 72-10 season,Charles Barkley
James Worthy,Larry Bird,Kareem Abdul-Jabbar,Larry Bird,"The others were part of the Los Angeles Lakers' ""Showtime""",Magic Johnson
Shaquille O'Neal,Derek Fisher,Kobe Bryant,Tracy McGrady,The others were part of the Los Angeles Lakers' three-peat,Tracy McGrady
Dwyane Wade,Chris Bosh,LeBron James,Carmelo Anthony,"The others were part of the Miami Heat's ""Big Three""",Carmelo Anthony
Tom Heinsohn,Wilt Chamberlain,Bill Russell,Wilt Chamberlain,The others were part of the Boston Celtics' 1960s dynasty,Sam Jones
Magic Johnson,Larry Bird,Robert Parish,Magic Johnson,"The others were part of the Boston Celtics' 1980s ""Big Three""",Kevin McHale
Bob Dandridge,Magic Johnson,Kareem Abdul-Jabbar,Magic Johnson,The others were part of the Milwaukee Bucks' 1971 Championship Team,Oscar Robertson
Michael Jordan,Dennis Rodman,Patrick Ewing,Patrick Ewing,The others were part of the Chicago Bulls' second three-peat,Scottie Pippen
Willie Stargell,Mike Schmidt,Bill Mazeroski,Mike Schmidt,The others played for the Pittsburgh Pirates,Roberto Clemente
Stan Musial,Bob Gibson,Lou Brock,Tony Gwynn,The others played for the St. Louis Cardinals,Tony Gwynn
Darryl Strawberry,Tom Seaver,Chipper Jones,Chipper Jones,The others played for the New York Mets,Mike Piazza
Carl Yastrzemski,Jim Rice,Ted Williams,Reggie Jackson,The others played for the Boston Red Sox,Reggie Jackson
Reggie Jackson,George Brett,Catfish Hunter,George Brett,The others played for the Oakland Athletics,Rollie Fingers
Harmon Killebrew,Kirby Puckett,Robin Yount,Robin Yount,The others played for the Minnesota Twins,Rod Carew
Joe Morgan,Pete Rose,Johnny Bench,Ernie Banks,The others played for the Cincinnati Reds,Ernie Banks
Hank Aaron,Willie Mays,Juan Marichal,Hank Aaron,The others played for the San Francisco Giants,Willie McCovey
Roberto Clemente,Jim Palmer,Brooks Robinson,Roberto Clemente,The others played for the Baltimore Orioles,Frank Robinson
Bob Feller,Norm Cash,Al Kaline,Bob Feller,The others played for the Detroit Tigers,Mickey Lolich
Mike Schmidt,Paul Molitor,Rollie Fingers,Mike Schmidt,The others played for the Milwaukee Brewers,Robin Yount
Mike Schmidt,Nolan Ryan,Steve Carlton,Nolan Ryan,The others played for the Philadelphia Phillies,Pete Rose
Nolan Ryan,Rod Carew,Reggie Jackson,Willie Mays,The others played for the California Angels,Willie Mays
Joe Morgan,Ryne Sandberg,Ron Santo,Joe Morgan,The others played for the Chicago Cubs,Ernie Banks
Cal Ripken Jr.,Hal McRae,Frank White,Cal Ripken Jr.,The others played for the Kansas City Royals,George Brett
Ozzie Smith,Tony Gwynn,Steve Garvey,Ozzie Smith,The others played for the San Diego Padres,Dave Winfield
Edgar Martinez,Tony Gwynn,Randy Johnson,Tony Gwynn,The others played for the Seattle Mariners,Ken Griffey Jr.
Hank Aaron,Eddie Mathews,Warren Spahn,Ernie Banks,The others played for the Milwaukee Braves,Ernie Banks
Bob Feller,Larry Doby,Willie Mays,Willie Mays,The others played for the Cleveland Indians,Early Wynn
Thomas Hearns,Joe Louis,Marvin Hagler,Joe Louis,The others are middleweight boxers.,Sugar Ray Leonard
Muhammad Ali,Mike Tyson,Evander Holyfield,Muhammad Ali,The others have won the heavyweight title in the 90s.,Larry Holmes
Sugar Ray Leonard,Floyd Mayweather,Manny Pacquiao,Sugar Ray Leonard,The others have won the welterweight title in the 21st century.,Oscar De La Hoya
George Foreman,Wladimir Klitschko,Evander Holyfield,Wladimir Klitschko,The others are American boxers.,Mike Tyson
Henry Armstrong,Willie Pep,Sugar Ray Robinson,Rocky Marciano,The others are featherweight boxers.,Rocky Marciano
Floyd Mayweather,Marvin Hagler,Manny Pacquiao,Marvin Hagler,The others are welterweight boxers.,Oscar De La Hoya
Roberto Duran,Pernell Whitaker,Joe Louis,Joe Louis,The others are lightweight boxers.,Julio Cesar Chavez
Popping Dancing,Breakdancing,Tango,Tango,The others are street dance styles,Locking Dancing
Belly,Tap,Jazz,Belly,The others are styles of dance originating in the West,Ballet
Cha Cha,Swing,Samba,Swing,The others are Latin ballroom dances,Paso Doble
Pointe Shoes,Tights,Tutu,Tap Shoes,The others are ballet attire,Tap Shoes
Capoeira,Samba,Flamenco,Flamenco,The others are Brazilian dances,Bossa Nova
Flamenco,Ballet,Hip Hop,Flamenco,The others originated in the United States,Jazz
Jazz,Salsa,Ballet,Salsa,The others are taught in traditional dance schools,Tap
Locking,Krumping,Breakdancing,Breakdancing,The others originated in Los Angeles,Popping
Rian Johnson,George Lucas,J.J. Abrams,David Lynch,The others have directed Star Wars films,David Lynch
Doug Gilmour,Guy Lafleur,Jean Beliveau,Doug Gilmour,The others played for the Montreal Canadiens.,Maurice Richard
Daniel Sedin,Scott Niedermayer,Rob Niedermayer,Rob Niedermayer,The others are twins.,Henrik Sedin
Joe Sakic,Steve Yzerman,Peter Forsberg,Steve Yzerman,The others played for the Colorado Avalanche.,Patrick Roy
Guy Lapointe,Serge Savard,Bobby Clarke,Bobby Clarke,The others are part of the Montreal Canadiens' Big Three.,Larry Robinson
Nicklas Lidstrom,Mario Lemieux,Steve Yzerman,Mario Lemieux,The others played for the Detroit Red Wings.,Pavel Datsyuk
Guy Lafleur,Bobby Orr,Johnny Bucyk,Guy Lafleur,The others played for the Boston Bruins.,Phil Esposito
Gordie Howe,Ted Lindsay,Bobby Hull,Bobby Hull,The others are part of the Detroit Red Wings' Production Line.,Alex Delvecchio
Rod Gilbert,Brad Park,Jean Ratelle,Brad Park,The others are part of the New York Rangers' GAG Line.,Vic Hadfield
Reggie Leach,Bill Barber,Bernie Parent,Bernie Parent,The others are part of the Philadelphia Flyers' LCB Line.,Bobby Clarke
Bryan Trottier,Clark Gillies,Mike Bossy,Denis Potvin,The others are part of the New York Islanders' Trio Grande.,Denis Potvin
Maurice Richard,Gordie Howe,Bobby Hull,Mario Lemieux,The others played in the Original Six era.,Mario Lemieux
Pavel Datsyuk,Henrik Zetterberg,Niklas Lidstrom,Niklas Lidstrom,The others are part of the Detroit Red Wings' Euro Twins.,Tomas Holmstrom
Milan Hejduk,Patrick Roy,Peter Forsberg,Patrick Roy,The others are part of the Colorado Avalanche's AMP Line.,Joe Sakic
Johnny Bucyk,Ken Hodge,Phil Esposito,Johnny Bucyk,The others are part of the Boston Bruins' Big Bad Bruins.,Bobby Orr
Elvis Presley,Jimi Hendrix,Michael Jackson,Jimi Hendrix,The others are known for their unique dance moves,Prince
George Harrison,Paul McCartney,Ringo Starr,Ringo Starr,The others were songwriters for The Beatles,John Lennon
Roger Waters,David Gilmour,Syd Barrett,Syd Barrett,The others are still members of Pink Floyd,Nick Mason
Richie Sambora,Tico Torres,Jon Bon Jovi,Richie Sambora,The others are still members of Bon Jovi,David Bryan
Phil Collins,John Deacon,Roger Taylor,Phil Collins,The others were members of Queen,Brian May
David Lee Roth,Alex Van Halen,Sammy Hagar,Sammy Hagar,The others are original members of Van Halen,Eddie Van Halen
Guy Berryman,Jonny Buckland,Chris Martin,Will Champion,The others are known for their guitar playing in Coldplay,Will Champion
Brian Johnson,Malcolm Young,Angus Young,Brian Johnson,The others are original members of AC/DC,Bon Scott
Bob Marley,B.B. King,Eric Clapton,Bob Marley,The others are primarily blues guitarists,Jimi Hendrix
Damon Albarn,Thom Yorke,Adele,Adele,The others are known for their experimental music,Björk
Bunny Wailer,Ziggy Marley,Peter Tosh,Ziggy Marley,The others were original members of The Wailers,Bob Marley
Ronnie Wood,Mick Jagger,Charlie Watts,Ronnie Wood,The others are original members of The Rolling Stones,Keith Richards
Claude Monet,Andy Warhol,Vincent Van Gogh,Andy Warhol,The others are Impressionist painters,Pablo Picasso
Rene Magritte,Salvador Dali,Leonardo da Vinci,Leonardo da Vinci,The others are Surrealist painters,Joan Miro
J.M.W. Turner,Edward Hopper,Georgia O'Keeffe,J.M.W. Turner,The others are American painters,Grant Wood
Rembrandt van Rijn,Johannes Vermeer,Vincent Van Gogh,Marc Chagall,The others are Dutch painters,Marc Chagall
Wassily Kandinsky,Édouard Manet,Paul Cézanne,Wassily Kandinsky,The others are French Impressionists,Pierre-Auguste Renoir
Kazimir Malevich,Wassily Kandinsky,Michelangelo,Michelangelo,The others are Abstract painters,Piet Mondrian
Francis Bacon,David Hockney,Lucian Freud,Raphael,The others are British painters,Raphael
Edgar Degas,Pablo Picasso,Pierre-Auguste Renoir,Pablo Picasso,The others are associated with Impressionism,Mary Cassatt
Salvador Dali,Kazimir Malevich,Marc Chagall,Salvador Dali,The others are Russian painters,Wassily Kandinsky
Vincent Van Gogh,Édouard Manet,Paul Gauguin,Andy Warhol,The others are Post-Impressionist painters,Andy Warhol
Claude Monet,Gustav Klimt,Oskar Kokoschka,Claude Monet,The others are Austrian painters,Egon Schiele
Andy Warhol,Jean-Michel Basquiat,Rembrandt,Rembrandt,The others are Pop Art painters,Keith Haring
Edward Hopper,Maurice de Vlaminck,André Derain,Edward Hopper,The others are Fauvist painters,Henri Matisse
Caravaggio,Piet Mondrian,Bart van der Leck,Caravaggio,The others are De Stijl movement painters,Theo van Doesburg
Marc Chagall,Johannes Vermeer,Chaim Soutine,Johannes Vermeer,The others are School of Paris painters,Amedeo Modigliani
Wassily Kandinsky,Paul Klee,August Macke,Frida Kahlo,The others are associated with the Blue Rider movement,Frida Kahlo
Pablo Picasso,Hans Holbein the Younger,Lucas Cranach the Elder,Pablo Picasso,The others are German Renaissance painters,Albrecht Dürer
Filippo de Pisis,Giorgio de Chirico,Carlo Carrà,Vincent Van Gogh,The others are Metaphysical painters,Vincent Van Gogh
Jean-Baptiste Greuze,Salvador Dali,Jean-Auguste-Dominique Ingres,Salvador Dali,The others are Neoclassical painters,Jacques-Louis David
El Greco,Francisco Goya,Diego Velázquez,Leonardo Da Vinci,The others are Spanish painters,Leonardo Da Vinci
Giotto,Mark Rothko,Duccio,Mark Rothko,The others are Italian painters from the Middle Ages,Cimabue
Jean-Auguste-Dominique Ingres,Jacques-Louis David,Jackson Pollock,Jackson Pollock,The others are French Neoclassical painters,Nicolas Poussin
Marc Chagall,Artemisia Gentileschi,Michelangelo Merisi,Marc Chagall,The others are Italian Baroque painters,Caravaggio
Sartre,de Beauvoir,Descartes,Descartes,The others are existentialist French philosophers,Camus
Epicurus,Locke,Kant,Epicurus,The others are modern philosophers,Hume
Sartre,Hegel,Marx,Sartre,The others are German philosophers,Feuerbach
Moore,Descartes,Russell,Descartes,The others are analytic philosophers,Wittgenstein
Descartes,Hume,Spinoza,Hume,The others are rationalist philosophers,Leibniz
Johann Sebastian Bach,Ludwig van Beethoven,Frédéric Chopin,Duke Ellington,The others composed primarily for the piano,Duke Ellington
Franz Liszt,Sergei Rachmaninoff,Scott Joplin,Scott Joplin,The others are known for their virtuosic playing,Frédéric Chopin
Sergei Prokofiev,Igor Stravinsky,Johann Sebastian Bach,Johann Sebastian Bach,The others are 20th-century Russian composers,Dmitri Shostakovich
Duke Ellington,Alfred Brendel,Glenn Gould,Duke Ellington,The others are known for their interpretations of Bach,Maurizio Pollini
Sergei Rachmaninoff,Felix Mendelssohn,Johannes Brahms,Sergei Rachmaninoff,The others are from the Romantic period,Robert Schumann
Franz Liszt,Johannes Brahms,Frédéric Chopin,Duke Ellington,The others were also music teachers,Duke Ellington
Franz Schubert,Vladimir Horowitz,Sergei Rachmaninoff,Franz Schubert,The others are known for their large hands,Franz Liszt
Franz Liszt,Thelonious Monk,Frédéric Chopin,Thelonious Monk,The others are from the 19th century,Johannes Brahms
Art Tatum,Sergei Rachmaninoff,Bill Evans,Sergei Rachmaninoff,The others are American pianists,Thelonious Monk
Glenn Gould,Alfred Brendel,Franz Liszt,Franz Liszt,The others are known for their interpretations of Beethoven,Maurizio Pollini
Thelonious Monk,Bill Evans,Duke Ellington,Sergei Rachmaninoff,The others are known for their improvisation skills,Sergei Rachmaninoff
Alfred Brendel,Maurizio Pollini,Franz Liszt,Franz Liszt,The others are known for their interpretations of Mozart,Glenn Gould
Elizabeth Barrett Browning,Robert Browning,John Keats,Pablo Neruda,The others are Victorian poets,Pablo Neruda
Emily Dickinson,Goethe,Friedrich Schiller,Emily Dickinson,The others are German poets,Rainer Maria Rilke
Anna Akhmatova,Alexander Pushkin,Boris Pasternak,Robert Frost,The others are Russian poets,Robert Frost
Giovanni Boccaccio,Dante Alighieri,Walt Whitman,Walt Whitman,The others are Italian poets,Petrarch
George Eliot,Lewis Carroll,Thomas Hardy,Lewis Carroll,The others wrote novels as well as poetry,Charles Dickens
William Shakespeare,Ben Jonson,Emily Dickinson,Emily Dickinson,The others are Renaissance poets,John Donne
Walt Whitman,Allen Ginsberg,William S. Burroughs,Walt Whitman,The others are Beat poets,Jack Kerouac
Samuel Johnson,John Dryden,Robert Frost,Robert Frost,The others are 18th century English poets,Alexander Pope
Richard Crashaw,John Donne,George Herbert,Emily Dickinson,The others are Metaphysical poets,Emily Dickinson
A.E. Housman,Robert Bridges,Emily Dickinson,Emily Dickinson,The others are English poets of the late 19th and early 20th century,Thomas Hardy
William Carlos Williams,Wallace Stevens,Robert Frost,John Keats,The others are Modernist poets,John Keats
Angela Merkel,Barack Obama,George W. Bush,Angela Merkel,The others are former US Presidents,Bill Clinton
Joe Biden,Kamala Harris,Mike Pence,Boris Johnson,The others are current or former US Vice Presidents,Boris Johnson
Scott Morrison,Tony Abbott,Jacinda Ardern,Jacinda Ardern,The others are Australian Prime Ministers,Malcolm Turnbull
Ahmet Davutoglu,Emmanuel Macron,Recep Tayyip Erdogan,Emmanuel Macron,The others are Turkish Presidents,Abdullah Gul
Jair Bolsonaro,Dilma Rousseff,Michel Temer,Angela Merkel,The others are Brazilian Presidents,Angela Merkel
Moon Jae-in,Lee Myung-bak,Park Geun-hye,Shinzo Abe,The others are South Korean Presidents,Shinzo Abe
Benigno Aquino III,Gloria Macapagal Arroyo,Rodrigo Duterte,Xi Jinping,The others are Philippine Presidents,Xi Jinping
Mahmoud Ahmadinejad,Emmanuel Macron,Mohammad Khatami,Emmanuel Macron,The others are Iranian Presidents,Hassan Rouhani
Andrés Manuel López Obrador,Joe Biden,Felipe Calderón,Joe Biden,The others are Mexican Presidents,Enrique Peña Nieto
Mario Monti,Matteo Renzi,Giuseppe Conte,Angela Merkel,The others are Italian Prime Ministers,Angela Merkel
Viktor Orbán,Emmanuel Macron,Gordon Bajnai,Emmanuel Macron,The others are Hungarian Prime Ministers,Ferenc Gyurcsány
Johnny Cash,Bob Dylan,Willie Nelson,Bob Dylan,The others are country artists.,Dolly Parton
Christina Aguilera,Britney Spears,Justin Timberlake,Justin Timberlake,The others are female solo artists.,Mariah Carey
Ariana Grande,Lady Gaga,Katy Perry,Lorde,The others have performed at the Super Bowl halftime show.,Lorde
Coldplay,One Republic,Maroon 5,The Chainsmokers,The others are bands with a lead vocalist.,The Chainsmokers
Halsey,Lorde,Taylor Swift,Taylor Swift,The others won their first Grammy before turning 20.,Billie Eilish
John Lennon,George Harrison,Ringo Starr,Ringo Starr,The others are songwriters of The Beatles.,Paul McCartney
Kendrick Lamar,Frank Ocean,Earl Sweatshirt,Kendrick Lamar,The others are members of Odd Future.,"Tyler, The Creator"
Rita Ora,Dua Lipa,Ellie Goulding,Sam Smith,The others are British female artists.,Sam Smith
Mo Salah,Lionel Messi,Cristiano Ronaldo,Mo Salah,The others have won UEFA Champions League with multiple clubs,Neymar Jr
Carlos Moyá,Rafael Nadal,Gustavo Kuerten,Rafael Nadal,The others have won French Open only once,Juan Carlos Ferrero
Hulk Hogan,Triple H,The Rock,Hulk Hogan,The others are part of the Attitude Era.,Stone Cold
Dean Malenko,Brock Lesnar,Eddie Guerrero,Brock Lesnar,The others are part of the Radicalz.,Chris Benoit
John Roberts,Judge Rinder,Clarence Thomas,Judge Rinder,The others are U.S. Supreme Court Justices,Thurgood Marshall
Apron,Baker's Hat,Oven Mitts,Whisk,The others are worn by bakers.,Whisk
Flour,Sugar,Salt,Sugar,The others are used in making bread dough.,Yeast
Croissant,Donut,Baguette,Donut,The others are types of bread.,Muffin
Salt,Yeast,Baking Soda,Salt,The others are leavening agents.,Baking Powder
Rye,Whole Wheat,Sourdough,Biscuit,The others are types of bread loaves.,Biscuit
Pie Dish,Pastry Bag,Rolling Pin,Pie Dish,The others are used in shaping or decorating baked goods.,Baking Sheet
Pastry,Cake,Bread,Pasta,The others are typically sweet.,Pasta
Pretzel,Croissant,Bagel,Bagel,The others are types of French bread.,Brioche
Puff Pastry,Cookie Dough,Filo Pastry,Cookie Dough,The others are types of pastry dough.,Shortcrust Pastry
Flour,Water,Milk,Milk,The others are ingredients in basic bread recipe.,Yeast
Scone,Muffin,Brownie,Scone,The others are typically eaten as dessert.,Cupcake
Eggs,Sugar,Raisins,Raisins,The others are essential ingredients in most baked goods.,Butter
Oven,Spatula,Baking Tray,Oven,The others are handheld baking tools.,Mixer
Baker's Yeast,Active Dry Yeast,Instant Yeast,Baking Soda,The others are types of yeast.,Baking Soda
Rolling Pin,Dough Scraper,Bread Knife,Pie Server,The others are used in handling dough.,Pie Server
Ice Cream,Pie,Bread,Ice Cream,The others are baked.,Cake
Pie,Tart,Quiche,Cake,The others have a crust.,Cake
Sugar,Butter,Flour,Oil,The others are used in making a basic cake.,Oil
Cookie,Donut,Cupcake,Donut,The others are baked in a mold or pan.,Muffin
Baking Soda,Baking Powder,Cream of Tartar,Cream of Tartar,The others are used to make dough rise.,Yeast
Pancake,Biscuit,Bread,Pancake,The others are baked in an oven.,Cake
Sugar,Pepper,Salt,Pepper,The others are basic ingredients in a cake recipe.,Flour
Chocolate Cake,Cheesecake,Red Velvet Cake,Cheesecake,The others are types of sponge cake.,Carrot Cake
Pasta,Bagel,Bread,Pasta,The others are made from a yeast dough.,Croissant
Brownie,Cake,Tart,Brownie,The others are typically made with a crust.,Pie
Wine Opener,Muddler,Jigger,Wine Opener,The others are used in making cocktails,Cocktail Shaker
Martini,Negroni,Bloody Mary,Bloody Mary,"The others are stirred, not shaken",Manhattan
Vodka,Rum,Tequila,Tequila,The others are used in a Long Island Iced Tea,Gin
Simple Syrup,Olive Brine,Lime Juice,Olive Brine,The others are common cocktail sweeteners,Bitters
Irish Whisky,Bourbon,Vodka,Vodka,The others are types of Whisky,Scotch
Bar Stool,Cocktail Glass,Wine Cellar,Wine Cellar,The others are found in the main bar area,Bar Counter
Muddler,Blender,Strainer,Blender,The others are manual bartending tools,Shaker
Cosmopolitan,Vodka Martini,Negroni,Negroni,The others are vodka-based cocktails,Moscow Mule
Cocktail Menu,Tip Jar,Kitchen,Kitchen,The others are found on the bar top,Bar Mat
Whiskey,Brandy,Vodka,Vodka,The others are aged in barrels,Rum
Mimosa,Screwdriver,Martini,Martini,The others are brunch cocktails,Bloody Mary
Cocktail Shaker,Blender,Bottle Opener,Blender,The others are used for opening drinks,Waiter's Corkscrew
Chair,Stove,Table,Stove,The others are in the dining area,Booth
Brunch,Dinner,Breakfast,Brunch,The others are traditional meal times,Lunch
Drink,Bread,Salad,Bread,The others are served in a bowl,Soup
Gordon Ramsay,Anthony Bourdain,Julia Child,Anthony Bourdain,The others are chefs who have hosted cooking competitions,Bobby Flay
Salt,Sugar,Paprika,Sugar,The others are spices,Pepper
Chopping Board,Whisk,Measuring Cup,Blender,The others are manual kitchen tools,Blender
Truffle,Caviar,Beef,Beef,The others are luxury food ingredients,Saffron
Bordeaux,Champagne,Whiskey,Whiskey,The others are French wine regions,Burgundy
Gewürztraminer,Chardonnay,Semillon,Gewürztraminer,The others are white wine varietals often aged in oak,Viognier
Gamay,Pinot Noir,Nebbiolo,Carmenere,The others are red wine varietals often made in a light-bodied style,Carmenere
Charles Barkley,Dwyane Wade,John Stockton,Dwyane Wade,The others never won an NBA championship,Karl Malone
Anthony Davis,Pau Gasol,Dirk Nowitzki,Anthony Davis,The others are European,Giannis Antetokounmpo
Hakeem Olajuwon,Kevin Garnett,Shaquille O'Neal,Kevin Garnett,The others are centers,David Robinson
Chris Paul,Steve Nash,Jason Kidd,Dwight Howard,The others are point guards,Dwight Howard
Russell Westbrook,LeBron James,Kevin Durant,Russell Westbrook,The others have won Finals MVP,Kawhi Leonard
Chris Webber,Klay Thompson,Draymond Green,Chris Webber,"The others are part of the Golden State Warriors' ""Splash Brothers"" era",Stephen Curry
Manu Ginobili,Tim Duncan,Yao Ming,Yao Ming,The others played for the San Antonio Spurs,Tony Parker
Paul Pierce,Carmelo Anthony,Kevin Garnett,Carmelo Anthony,The others won a championship with the Boston Celtics,Ray Allen
John Starks,Patrick Ewing,Reggie Miller,Reggie Miller,The others played for the New York Knicks,Charles Oakley
Hakeem Olajuwon,Charles Barkley,Clyde Drexler,Allen Iverson,The others played for the Houston Rockets,Allen Iverson
Steve Nash,Michael Finley,Tracy McGrady,Tracy McGrady,The others played for the Dallas Mavericks,Dirk Nowitzki
Scottie Pippen,Gary Payton,Detlef Schrempf,Scottie Pippen,The others played for the Seattle Supersonics,Shawn Kemp
Kevin McHale,Robert Parish,Magic Johnson,Magic Johnson,The others played for the Boston Celtics,Larry Bird
Peja Stojakovic,Mike Bibby,Chris Webber,Ray Allen,The others played for the Sacramento Kings,Ray Allen
Isiah Thomas,Dennis Rodman,Joe Dumars,Michael Jordan,The others played for the Detroit Pistons,Michael Jordan
